127.0.0.1, 2015-10-06 17:59:17, GET, /admin/static/_2.12.3/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000805
127.0.0.1, 2015-10-06 17:59:17, GET, /admin/static/_2.12.3/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000663
127.0.0.1, 2015-10-06 17:59:17, GET, /admin/static/_2.12.3/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001117
127.0.0.1, 2015-10-06 17:59:17, GET, /admin/static/_2.12.3/js/bootstrap.min.js, HTTP/1.1, 200, 0.000326
127.0.0.1, 2015-10-06 17:59:17, GET, /admin/static/_2.12.3/images/questions.png, HTTP/1.1, 200, 0.000306
127.0.0.1, 2015-10-06 17:59:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000165
127.0.0.1, 2015-10-06 17:59:21, POST, /admin/default/index, HTTP/1.1, 303, 0.026032
127.0.0.1, 2015-10-06 17:59:21, GET, /admin/default/site, HTTP/1.1, 200, 0.027114
127.0.0.1, 2015-10-06 17:59:21, GET, /admin/static/_2.12.3/images/folder.png, HTTP/1.1, 200, 0.000379
127.0.0.1, 2015-10-06 17:59:21, GET, /admin/static/_2.12.3/images/folder_locked.png, HTTP/1.1, 200, 0.000834
127.0.0.1, 2015-10-06 17:59:21, GET, /admin/static/_2.12.3/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000281
127.0.0.1, 2015-10-06 17:59:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000163
127.0.0.1, 2015-10-06 17:59:22, POST, /admin/default/check_version, HTTP/1.1, 200, 0.641710
127.0.0.1, 2015-10-06 17:59:33, POST, /admin/default/site, HTTP/1.1, 303, 0.062966
127.0.0.1, 2015-10-06 17:59:33, GET, /admin/default/design/myapp, HTTP/1.1, 200, 0.085926
127.0.0.1, 2015-10-06 17:59:33, GET, /admin/static/_2.12.3/images/test_icon.png, HTTP/1.1, 200, 0.000831
127.0.0.1, 2015-10-06 17:59:33, GET, /admin/static/_2.12.3/images/help.png, HTTP/1.1, 200, 0.001454
127.0.0.1, 2015-10-06 17:59:33, GET, /admin/static/_2.12.3/images/delete_icon.png, HTTP/1.1, 200, 0.001269
127.0.0.1, 2015-10-06 17:59:33, GET, /admin/static/_2.12.3/images/search.png, HTTP/1.1, 200, 0.000622
127.0.0.1, 2015-10-06 17:59:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000251
127.0.0.1, 2015-10-06 18:00:56, GET, /admin/default/index, HTTP/1.1, 303, 0.002859
127.0.0.1, 2015-10-06 18:00:56, GET, /admin/default/site, HTTP/1.1, 200, 0.028163
127.0.0.1, 2015-10-06 18:00:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000179
127.0.0.1, 2015-10-06 18:00:58, GET, /myapp/default/index, HTTP/1.1, 200, 0.012600
127.0.0.1, 2015-10-06 18:00:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000253
127.0.0.1, 2015-10-06 18:01:00, GET, /admin/default/site, HTTP/1.1, 200, 0.027442
127.0.0.1, 2015-10-06 18:01:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000285
127.0.0.1, 2015-10-06 18:01:18, GET, /myapp/default/index, HTTP/1.1, 200, 0.013169
127.0.0.1, 2015-10-06 18:01:18, GET, /myapp/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000868
127.0.0.1, 2015-10-06 18:01:18, GET, /myapp/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001084
127.0.0.1, 2015-10-06 18:01:18, GET, /myapp/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000901
127.0.0.1, 2015-10-06 18:01:18, GET, /myapp/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.001905
127.0.0.1, 2015-10-06 18:01:18, GET, /myapp/static/css/calendar.css, HTTP/1.1, 200, 0.001755
127.0.0.1, 2015-10-06 18:01:18, GET, /myapp/static/js/jquery.js, HTTP/1.1, 200, 0.000859
127.0.0.1, 2015-10-06 18:01:18, GET, /myapp/static/js/calendar.js, HTTP/1.1, 200, 0.000350
127.0.0.1, 2015-10-06 18:01:18, GET, /myapp/static/js/share.js, HTTP/1.1, 200, 0.000704
127.0.0.1, 2015-10-06 18:01:18, GET, /myapp/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000893
127.0.0.1, 2015-10-06 18:01:18, GET, /myapp/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000751
127.0.0.1, 2015-10-06 18:01:18, GET, /myapp/static/js/web2py.js, HTTP/1.1, 200, 0.001667
127.0.0.1, 2015-10-06 18:01:18, GET, /myapp/static/images/background.jpg, HTTP/1.1, 200, 0.000757
127.0.0.1, 2015-10-06 18:01:18, GET, /myapp/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000556
127.0.0.1, 2015-10-06 18:01:18, GET, /myapp/static/images/facebook.png, HTTP/1.1, 200, 0.001199
127.0.0.1, 2015-10-06 18:01:18, GET, /myapp/static/images/gplus-32.png, HTTP/1.1, 200, 0.000626
127.0.0.1, 2015-10-06 18:01:18, GET, /myapp/static/images/twitter.png, HTTP/1.1, 200, 0.000764
127.0.0.1, 2015-10-06 18:01:18, GET, /myapp/static/images/favicon.ico, HTTP/1.1, 200, 0.000280
127.0.0.1, 2015-10-06 18:01:47, GET, /myapp/default/index, HTTP/1.1, 200, 0.006391
127.0.0.1, 2015-10-06 18:01:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000321
127.0.0.1, 2015-10-06 18:03:22, GET, /myapp/default/index, HTTP/1.1, 200, 0.020458
127.0.0.1, 2015-10-06 18:03:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000390
